name,audio_id,cc
Superb Lyrebird,8004,F. N. Robinson
Laughing Kookaburra,232780,Vicki Powys
Sulphur-crested Cockatoo,529861,Mark Robbins
Pied Currawong,233575,Tony Baylis
White-throated Treecreeper,233675,Tony Baylis
Night Parrot,63433741,Nigel Jackett
Slaty-backed Thornbill,176319381,Tayler Brooks
Sooty Owl,27011101,Andrew Spencer
Noisy Miner,229657,Vicki Powys
Comb-crested Jacana,33171581,Andrew Spencer
Australian Magpie,229623,Vicki Powys
Pacific Heron,26960621,Andrew Spencer
Bridled Tern,294277031,Drew Davison
Little Penguin,274612851,Ramit Singal
Pink Robin,99564161,Andrew Spencer
Buff-rumped Thornbill,301693751,Zebedee Muller
Crested Bellbird,203930761,Josep del Hoyo
Laughing Kookaburra,229606,Vicki Powys
White-winged Triller,267227691,Zebedee Muller
Tasmanian Scrubwren,250426831,Ramit Singal
White-fronted Honeyeater,203930691,Josep del Hoyo
Pacific Koel,44253641,Rick Franks
Pied Currawong,229695,Vicki Powys
Galah,203930681,Josep del Hoyo
Buff-breasted Paradise-Kingfisher,507204561,Zebedee Muller
Scarlet Robin,99575701,Andrew Spencer
Radjah Shelduck,63185731,James (Jim) Holmes
Superb Fairywren,226219,Vicki Powys
Eurasian Skylark,112286821,Fred Booker Malcolm
Black-backed Bittern,300018831,Zebedee Muller
Pilotbird,215144781,Greg McLachlan
Large-tailed Nightjar,203887581,Pieter de Groot Boersma
Southern Scrub-Robin,466435211,James (Jim) Holmes
Western Bowerbird,351450701,Ramit Singal
Musk Lorikeet,279196831,Ramit Singal
House Sparrow,249690221,Ramit Singal
Rufous Bristlebird,203954961,Josep del Hoyo
Eastern Bristlebird,203887731,Pieter de Groot Boersma
Chowchilla,33171711,Andrew Spencer
Pied Butcherbird,233568,Tony Baylis
Noisy Friarbird,226189,Vicki Powys
Jacky-winter,201215,Emma Greig
Black-faced Monarch,375413941,McKinley Moens
Chirruping Wedgebill,464627601,James (Jim) Holmes
Golden Whistler,13956,"Fred W. Loetscher, Jr."
Royal Spoonbill,431749911,Greg Neill
Tawny Frogmouth,514138641,Terence Alexander
