name,audio_id,cc
Smith's Longspur,32239701,Andrew Spencer
Barred Owl,93169341,Jocelyn Lauzon
Eurasian Skylark,314243691,Carl Hughes
Connecticut Warbler,103567061,Ian Davies
Yellow Rail,469915541,Blair Dudeck
Yellow Rail,128195241,Riley Walsh
Killdeer,104731171,Dan J. MacNeal
Common Loon,197039,Bob McGuire
Connecticut Warbler,173597,Matthew D. Medler
Gray-cheeked Thrush,33235001,Andrew Spencer
Bicknell's Thrush,100908,Wil Hershberger
Spruce Grouse,494816831,Blair Dudeck
American Bittern,163349391,John Patterson
Caspian Tern,114881411,William  von Herff
Virginia Rail,60635981,John Patterson
White-throated Sparrow,15567,Arthur A. Allen
House Sparrow,231711901,Jocelyn Lauzon
Sanderling,138266,Gerrit Vyn
Northern Flicker,324133871,Magdalena Z
Steller's Jay,318226821,Eamon Riordan-Short
American Woodcock,218988931,Dan J. MacNeal
Leach's Storm-Petrel,120441,Diane Tessaglia-Hymes
Philadelphia Vireo,173598,Matthew D. Medler
Rufous Hummingbird,457241371,Aaron Roberge
Yellow-breasted Chat,465494921,Rain Saulnier
Western Meadowlark,231013641,John Patterson
Western Meadowlark,61551,William W. H. Gunn
Whooping Crane,267590321,John Patterson
Belted Kingfisher,343599271,Andrew Boycott
LeConte's Sparrow,166841451,Pat Lucas
Merlin,187047,Bob McGuire
Gray Catbird,477168731,Ethan Denton
Harris's Sparrow,105763,Geoffrey A. Keller
Greater White-fronted Goose,395984931,Kalin Ocaña
Lapland Longspur,15178,Arthur A. Allen
Pileated Woodpecker,398000161,Liam Thorne
Western Grebe,336782491,Kalin Ocaña
Eastern Screech-Owl,150363891,Daniel Jauvin
Savannah Sparrow,66437,William W. H. Gunn
Bobolink,335693201,Magdalena Z
Sora,60635831,John Patterson
American Dipper,396529091,David Mackenzie
Nashville Warbler,371520661,Kalin Ocaña
Rock Pigeon,614015081,Liam Ragan
Western Meadowlark,320371571,Annie McLeod
Chipping Sparrow,224782781,Carl Hughes
Nashville Warbler,197110,Bob McGuire
Fox Sparrow,136175,Matthew D. Medler
Dark-eyed Junco,59846,William W. H. Gunn
Lazuli Bunting,105420591,Logan Lalonde
Ring-necked Pheasant,140678461,Dan J. MacNeal
Yellow-bellied Sapsucker,349575811,nancy dowd
King Eider,59448,Darryl Dahmer
Sora,335475951,Riley Walsh
American Woodcock,273395581,Réjean Deschênes
Rufous Hummingbird,238383781,Pat Lucas
Boreal Chickadee,56187491,Ian Davies
Clay-colored Sparrow,206428,Bob McGuire
American Three-toed Woodpecker,63491171,Pat Lucas
Black-billed Magpie,321562911,Aaron Roberge
Black Tern,359707141,Joshua Brown
Tennessee Warbler,136170,Matthew D. Medler
American Pipit,62307,Donald R. Gunn
American Goshawk,298237561,Dan J. MacNeal
Glaucous Gull,363369151,Thierry Grandmont
Gray Catbird,63966,Donald Kerr
Mourning Dove,430087991,Vincent Fyson
Wood Thrush,239076701,Daniel Jauvin
Common Loon,105215211,Blair Dudeck
Cape May Warbler,68917,William W. H. Gunn
American Tree Sparrow,15389,Arthur A. Allen
Greater Yellowlegs,105300891,Barry Day
Cliff Swallow,356850581,Joshua Brown
Fox Sparrow,136177,Matthew D. Medler
Tennessee Warbler,133349,Geoffrey A. Keller
Indigo Bunting,355971411,Melissa Hafting
Philadelphia Vireo,235576,Bob McGuire
Eared Grebe,353764321,John Patterson
American Pipit,169239571,Ted Floyd
Sprague's Pipit,29160351,Wil Hershberger
Northern Flicker,299493831,Andrew Boycott
Harlequin Duck,3781,Grace M. Bell
Rough-legged Hawk,133344,Geoffrey A. Keller
Brown Thrasher,333575101,Magdalena Z
Swainson's Thrush,247798021,Asher  Warkentin
Spotted Towhee,296939801,Andrew Boycott
Brown Creeper,597413811,Liam Ragan
Ferruginous Hawk,470370111,Jody  Wells
Rough-legged Hawk,133341,Geoffrey A. Keller
Eastern Towhee,584200791,Liam Thorne
Ovenbird,243777391,Christopher Di Corrado
Anna's Hummingbird,210016991,Prayitno Goenarto
Pacific Wren,193954531,Kalin Ocaña
Sandhill Crane,159158381,Kathleen Dvorak
Cassin's Finch,105419381,Logan Lalonde
Boreal Chickadee,56187521,Ian Davies
Pied-billed Grebe,326561931,Jay Solanki
Semipalmated Plover,66314421,Dan J. MacNeal
Glaucous Gull,552541121,Daniel Jauvin
Greater Yellowlegs,136173,Matthew D. Medler
Solitary Sandpiper,105660101,Blair Dudeck
Lincoln's Sparrow,538731911,Kalin Ocaña
Lincoln's Sparrow,538724741,Kalin Ocaña
Red-naped Sapsucker,538723291,Kalin Ocaña
Yellow-headed Blackbird,443058851,Cameron Hunter
Song Sparrow,430161541,Vincent Fyson
Black-backed Woodpecker,401620881,Martin Bélanger
Long-eared Owl,358939381,John Patterson
Yellow Warbler,100952891,Jocelyn Lauzon
Yellow Rail,46064041,Phil Ranson
Connecticut Warbler,235580,Bob McGuire
American Three-toed Woodpecker,105787,Geoffrey A. Keller
Magnolia Warbler,100914,Wil Hershberger
Yellow-rumped Warbler,100912,Wil Hershberger
Canada Goose,60875,William W. H. Gunn
White-throated Sparrow,15568,Arthur A. Allen
Red-winged Blackbird,314523871,Joshua Brown
Cooper's Hawk,236739701,Randy Dzenkiw
Parasitic Jaeger,174394001,Riley Walsh
Snowy Owl,137339,Philip S. Taylor
Bald Eagle,234459861,Daniel Donnecke
Cassin's Finch,395987841,Kalin Ocaña
Sanderling,482482181,Bernard Tremblay
Pileated Woodpecker,470495161,Marie Giroux
Northern Mockingbird,343775881,Magdalena Z
Pine Siskin,193954181,Kalin Ocaña
Song Sparrow,396460871,Kalin Ocaña
Common Poorwill,55349211,John Patterson
Redhead,560977601,Rain Saulnier
Black Scoter,169277571,Jocelyn Lauzon
Western Flycatcher,248795061,Annie McLeod
Brown-headed Cowbird,58149,William W. H. Gunn
Yellow-breasted Chat,538733681,Kalin Ocaña
Black Oystercatcher,424762761,Liam Ragan
Eastern Phoebe,61890,William W. H. Gunn
Whimbrel,43077,William W. H. Gunn
Savannah Sparrow,348077761,Pat Lucas
Warbling Vireo,347175871,Pat Lucas
American Redstart,197115,Bob McGuire
Ruby-crowned Kinglet,197097,Bob McGuire
Ross's Gull,137348,Stewart D. MacDonald
Olive-sided Flycatcher,133336,Geoffrey A. Keller
Boreal Owl,609846899,David Turgeon
bird sp.,370092571,Jean-Daniel Fiset
Green-winged Teal,251158831,Vincent Giroux
Vesper Sparrow,66491,William W. H. Gunn
Parasitic Jaeger,137330,Stewart D. MacDonald
Bonaparte's Gull,59229,William W. H. Gunn
Red-breasted Nuthatch,382032291,Jesse Morris
Northern Harrier,247994031,Nicole Richardson
Bank Swallow,466848671,Daniel Jauvin
Snowy Owl,54811,Martha Fischer
Sooty Grouse,203904331,Josep del Hoyo
Dusky Grouse,157903381,Pat Lucas
Boreal Owl,106820541,Daniel Jauvin
Summer Tanager,613160373,Luc Verreault
Wilson's Snipe,598176061,Ethan Denton
Great Horned Owl,521599391,Andrew Wiebe
Evening Grosbeak,401454381,Peter Blancher
Pileated Woodpecker,364950621,Lisa Cancade Hackett
Bay-breasted Warbler,360624941,Joshua Brown
Long-billed Curlew,351892901,Annie McLeod
Rock Ptarmigan,138286,Gerrit Vyn
Snow Bunting,138256,Gerrit Vyn
Least Flycatcher,7639,Robert C. Stein
Leach's Storm-Petrel,370337101,Ken Wright
