name,audio_id,cc
Steller's Sea-Eagle,21723301,Andrew Spencer
Ryukyu Scops-Owl,203899261,Desmond Allen
Black Paradise-Flycatcher,203692341,Chuck McQue
Okinawa Rail,203896011,Josep del Hoyo
Japanese Accentor,134561151,James (Jim) Holmes
Boreal Owl,203999631,Hervé JACOB
Slaty-legged Crake,203895951,Josep del Hoyo
Northern Hawk-Cuckoo,204001471,Hervé JACOB
Japanese Accentor,134561061,James (Jim) Holmes
Gray-faced Buzzard,172332401,Andrew Spencer
Sakhalin Grasshopper Warbler,203970711,Phil Gregory | Sicklebill Safaris | www.birder.travel
Red-crowned Crane,203932691,Josep del Hoyo
Siberian Sand-Plover,281691,Peter Boesman
Slaty-backed Gull,281920,Peter Boesman
Okinawa Robin,203896041,Josep del Hoyo
Blakiston's Fish-Owl,203979331,Phil Gregory | Sicklebill Safaris | www.birder.travel
Oriental Greenfinch,281571,Peter Boesman
Northern Hawk-Cuckoo,281416,Peter Boesman
Whistling Green-Pigeon,203997511,Desmond Allen
Ural Owl,247158951,yann muzika
Japanese Sparrowhawk,203929651,Josep del Hoyo
Slaty-backed Gull,281874,Peter Boesman
Ural Owl,247159551,yann muzika
Pacific Swift,281928,Peter Boesman
Mallard,134632281,James (Jim) Holmes
Japanese Scops-Owl,204001501,Hervé JACOB
Japanese Leaf Warbler,203913431,Josep del Hoyo
Ryukyu Scops-Owl,203895881,Josep del Hoyo
Glaucous-winged Gull,536336151,M Kelly
Narcissus Flycatcher,58930791,Timothy Spahr
White-backed Woodpecker,281556,Peter Boesman
Gray Bunting,460115961,Joye Zhou
Yellow-browed Warbler,420034041,kunitarou miyagi
Brown-cheeked Rail,384892061,Yoshiaki Watanabe
Eurasian Nuthatch,279703101,Susan Myers
Pleske's Grasshopper Warbler,281449,Peter Boesman
Green Pheasant,203903461,Desmond Allen
Greater White-fronted Goose,203932291,Josep del Hoyo
Ijima's Leaf Warbler,203903491,Desmond Allen
Daurian Jackdaw,203968911,Phil Gregory | Sicklebill Safaris | www.birder.travel
Blakiston's Fish-Owl,182695611,Andrew Spencer
Long-tailed Duck,512807111,Guy Kirwan
Mallard,420006061,Hiromi Arima
Blue Rock-Thrush,281491,Peter Boesman
Gray-headed Lapwing,172337261,Andrew Spencer
