name,audio_id,cc
Golden-cheeked Warbler,40561,Geoffrey A. Keller
Dickcissel,76767,Curtis Marantz
Painted Bunting,188218,Bob McGuire
Elf Owl,105533,Geoffrey A. Keller
Carolina Wren,214721481,Caleb Helsel
Vermilion Flycatcher,188210,Bob McGuire
Gray Vireo,40629,Geoffrey A. Keller
Say's Phoebe,151630521,Tayler Brooks
Chuck-will's-widow,105213,Geoffrey A. Keller
Bachman's Sparrow,254546171,Liam Wolff
Dickcissel,230709861,Caleb Helsel
Common Pauraque,87464,Matthew D. Medler
Pied-billed Grebe,138665181,Paul Marvin
King Rail,130909,Gerrit Vyn
Yellow-throated Warbler,347829881,Andrew Spencer
Canyon Wren,204012061,Chris Harrison
Black-bellied Whistling-Duck,25663,Russ Charif
Summer Tanager,141113,Benjamin Clock
Ruby-throated Hummingbird,105602,Geoffrey A. Keller
Bat Falcon,398868261,Colette Micallef
Crimson-collared Grosbeak,49377881,Andrew Spencer
Inca Dove,323357141,Andrew Spencer
Black-and-white Warbler,323500751,Aaron Boone
Curve-billed Thrasher,130902,Gerrit Vyn
Northern Bobwhite,105255,Geoffrey A. Keller
Sprague's Pipit,301491071,David Cimprich
Greater Roadrunner,610408904,Cyrus Allen
Harris's Sparrow,389949311,Liam Wolff
Purple Gallinule,65208011,Jennifer Miller
Yellow-green Vireo,76765,Curtis Marantz
Lesser Nighthawk,112564821,Paul Marvin
Yellow-billed Cuckoo,634354421,Brady Schwab
Canyon Wren,151627971,Tayler Brooks
Bachman's Sparrow,187344,Benjamin Clock
Plain Chachalaca,130903,Gerrit Vyn
Black Rail,90529081,Liam Wolff
Snow Goose,79830261,JOHN KIRK
Green Jay,285806951,Ezekiel Dobson
American Crow,305346371,Cin-Ty Lee
Virginia Rail,290263311,Ezekiel Dobson
Scissor-tailed Flycatcher,105244,Geoffrey A. Keller
Painted Bunting,110142,Jeff Bolsinger
Ruby-throated Hummingbird,476717631,Judy Behrens
Bushtit,299936151,Aaron Boone
American Barn Owl,613461208,James (Jim) Holmes
Colima Warbler,452433891,Liam Huber
Sedge Wren,439087771,Liam Huber
Northern Cardinal,130905,Gerrit Vyn
Olive Sparrow,403182651,James (Jim) Holmes
Brown-crested Flycatcher,213787,Bob McGuire
Canyon Wren,9044,Robert C. Stein
Great-tailed Grackle,84060451,Kathleen Dvorak
Bonaparte's Gull,528524931,Dana Sudborough
Chuck-will's-widow,154731761,Delaney Kempf
Pied-billed Grebe,398753071,Cin-Ty Lee
Montezuma Quail,105253,Geoffrey A. Keller
Social Flycatcher,389360011,Michael O'Brien
Plain Chachalaca,40559,Geoffrey A. Keller
Green Parakeet,239629641,Ryan Rodriguez
Black-chinned Sparrow,40631,Geoffrey A. Keller
Black-headed Grosbeak,16996,Robert C. Stein
Black-headed Grosbeak,452639911,Liam Wolff
Northern Cardinal,223540491,Caleb Helsel
Green Parakeet,102191791,Simon Kiacz
Long-billed Curlew,104044431,Paul Marvin
Common Poorwill,219800791,Caleb Helsel
Ring-necked Duck,115225371,Paul Marvin
American Kestrel,29887701,Eric Carpenter
Cactus Wren,630679492,Justus Pendleton
Ferruginous Pygmy-Owl,613405819,Hanyang Ye
Laughing Gull,612103844,Liam Wolff
Bald Eagle,608990641,Jim Burrough
Lark Sparrow,575914261,James (Jim) Holmes
Least Grebe,575610581,James (Jim) Holmes
Tropical Parula,564229861,Andrew Simon
Northern x Tropical Parula,346048921,Ronan Nicholson
Inca Dove,323357131,Andrew Spencer
Pyrrhuloxia,275799041,Andrew Spencer
Morelet's Seedeater,113267301,Paul Marvin
Crissal Thrasher,95111431,Hal Mitchell
Bewick's Wren,188241,Bob McGuire
Black-throated Sparrow,15116,Robert C. Stein
Cassin's Sparrow,14992,Robert C. Stein
Black Vulture,229366111,Ty Allen
Common Poorwill,219800701,Caleb Helsel
Ring-billed Gull,527119031,Blaine Carnes
Juniper Titmouse,594928411,Matt Brady
Mexican Whip-poor-will,573208481,Brady Schwab
Northern Beardless-Tyrannulet,361986231,Bill Eisele
Painted Redstart,147592,Benjamin Clock
Green Jay,439084681,Liam Huber
Brown Jay,40553,Geoffrey A. Keller
Eastern Screech-Owl,613522655,Hanyang Ye
Egyptian Goose,554819441,Paolo Matteucci
Cave Swallow,482238641,Dana Sudborough
Neotropic Cormorant,482237701,Dana Sudborough
Lucifer Hummingbird,456261851,Cin-Ty Lee
Plumbeous Vireo,452640091,Liam Wolff
Bewick's Wren,428580571,Dana Sudborough
American Woodcock,411782071,Shelia Hargis
Dickcissel,235836491,Caleb Helsel
Carolina Wren,219405011,Caleb Helsel
Carolina Wren,219404991,Caleb Helsel
Colima Warbler,188236,Bob McGuire
Tufted x Black-crested Titmouse,304017171,Kevin (Seth) Long
Olive Sparrow,204012071,Chris Harrison
Northern Shoveler,104165501,Paul Marvin
Field Sparrow,151148971,Marky Mutchler
Red-billed Pigeon,20689911,Paul Marvin
Great Horned Owl,26781171,Robin Sowton
Mexican Whip-poor-will,188224,Bob McGuire
Painted Bunting,163233,Greg Lasley
Vermilion Flycatcher,105508,Geoffrey A. Keller
Black-capped Vireo,40560,Geoffrey A. Keller
House Finch,86884111,Chet Burrier
Ross's Goose,505852601,Pair of Wing-Nuts
Common Poorwill,219800691,Caleb Helsel
Bachman's Sparrow,254550311,Liam Wolff
Golden-cheeked Warbler,147505671,Liam Wolff
Fulvous Whistling-Duck,65843851,Paul Marvin
White-tipped Dove,65761771,Paul Marvin
Vermilion Flycatcher,76650101,Paul Marvin
Scaled Quail,105249,Geoffrey A. Keller
Northern Bobwhite,623081787,Justin Bosler
Black-necked Stilt,622576703,Justus Pendleton
Black-whiskered Vireo,621186305,Cin-Ty Lee
Orange-crowned Warbler,613463854,James (Jim) Holmes
Orange-crowned Warbler,613463847,James (Jim) Holmes
Cooper's Hawk,595478931,Matt Brady
Field Sparrow,574666831,James (Jim) Holmes
American Goldfinch,558776481,Parker Marsh
Lark Sparrow,438397251,Dana Sudborough
Louisiana Waterthrush,389983861,Liam Wolff
White-eyed Vireo,334951451,Andrew Spencer
Red-cockaded Woodpecker,254546521,Liam Wolff
