name,audio_id,cc
Long-eared Owl,49057,Dave Herr
Chestnut-backed Chickadee,270443071,Andrew Spencer
Townsend's Warbler,47707,Dave Herr
House Sparrow,50543,Dave Herr
Red-winged Blackbird,110263341,Dave Slager
Lark Sparrow,104755291,Samuel Holman
Pileated Woodpecker,88310041,Dave Slager
Black-backed Woodpecker,342986861,Dave Slager
Ruby-crowned Kinglet,47706,Dave Herr
Dark-eyed Junco,387079401,Joey McCracken
Common Loon,185167831,Charlie Wright
Black-capped x Mountain Chickadee,88879921,Samuel Holman
American Goshawk,166822011,Dave Slager
MacGillivray's Warbler,334273941,Mike Melton
Rock Wren,166682021,Janine Schutt
Bewick's Wren,633606416,Xin Cen
Bewick's Wren,633606415,Xin Cen
Clark's Nutcracker,344810091,Charlie Wright
Great Horned Owl,50544,Dave Herr
Common Poorwill,342391111,Taylor Sturm
Chestnut-backed Chickadee,64447131,Dave Slager
Canyon Wren,109472491,Dave Slager
Sora,97421781,Samuel Holman
Cooper's Hawk,256396501,Dave Slager
Song Sparrow,256393781,Dave Slager
Canada Jay,13510,Charles A. Sutherland
Mountain Quail,145709801,Charlie Wright
European Starling,94011651,Ian Hearn
Northern Hawk Owl,262604091,Andrew Spencer
Black-capped Chickadee,94688421,Samuel Holman
Red Crossbill,68287801,Andrew Spencer
Western Grebe,70246371,Bruce Lagerquist
Bewick's Wren,633606528,Xin Cen
Solitary Sandpiper,352007621,Andrew Thomas 🦅🪶
Bohemian Waxwing,410697001,Andrew Thomas 🦅🪶
Golden-crowned Kinglet,123417881,Mason Maron
Northern Bobwhite,464681351,Joey McCracken
Ring-necked Duck,519031491,V. Lohr
Olive-sided Flycatcher,64518421,Dave Slager
Western Gull,3361,Charles A. Sutherland
Lazuli Bunting,314474461,Dave Slager
Northern Saw-whet Owl,165720461,Michael Woodruff
Belted Kingfisher,65439231,Dave Slager
Mountain Chickadee,88790931,Samuel Holman
Hermit Warbler,342623951,Taylor Sturm
Willow Flycatcher,323075671,Dave Slager
Tufted Puffin,3863,Ernest S. Booth
Tree Swallow,104755181,Samuel Holman
Lark Sparrow,104755281,Samuel Holman
Sora,97421771,Samuel Holman
Anna's x Rufous Hummingbird,428008081,Charlie Wright
Lazuli Bunting,318752661,Dave Slager
Violet-green Swallow,165626281,Kyle Leader
Burrowing Owl,622903055,Xin Cen
Cassin's Vireo,462308861,Joey McCracken
Red-breasted Sapsucker,165454211,Dave Slager
Spotted Towhee,64974851,Phil Green
Hutton's Vireo,89200521,Dave Slager
Ring-necked Duck,229643411,Phil Green
Black-headed Grosbeak,342691401,Stephen Chase
White-tailed Ptarmigan,159301311,Charlie Wright
Western Flycatcher,7611,Charles A. Sutherland
Harlequin Duck,268179481,Stephen Chase
Yellow-headed Blackbird,168703481,Dave Slager
Common Nighthawk,359482681,Scott Ramos
Willow Flycatcher,64930881,Dave Slager
Great Horned Owl,168485811,Janine Schutt
Song Sparrow,132265291,Mason Maron
Prairie Falcon,239916281,Jerred Seveyka
Northern House Wren,174047631,Dave Slager
Wilson's Warbler,10918,Charles A. Sutherland
Burrowing Owl,622903054,Xin Cen
Burrowing Owl,622903053,Xin Cen
American Avocet,346921621,Charlie Wright
Common Raven,318699771,Dave Slager
White-tailed Ptarmigan,159303911,Charlie Wright
Great Blue Heron,62548711,Becky  Hartley
Pied-billed Grebe,168703591,Dave Slager
Swainson's Hawk,154308651,Bruce Lagerquist
Bonaparte's Gull,122111321,Rachel Hudson
Say's Phoebe,342389081,Taylor Sturm
Great Gray Owl,346473251,Nick  Roth
Red-tailed Hawk,246552331,Daniel Horton
Pigeon Guillemot,602746371,Rachel Hudson
American Three-toed Woodpecker,587817441,Joey McCracken
Western Screech-Owl,568802411,Mark Selle
American Kestrel,481897671,Cameron Heusser
Chestnut-sided Warbler,462308831,Joey McCracken
Sooty Grouse,461704981,Joey McCracken
Solitary Sandpiper,352007611,Andrew Thomas 🦅🪶
Grasshopper Sparrow,351739141,Liam Hutcheson
Yellow-headed Blackbird,347196981,Andrew Thomas 🦅🪶
Short-billed Dowitcher,266703801,Andrew Spencer
Black Turnstone,262658431,Andrew Spencer
Vesper Sparrow,218926651,Bruce Lagerquist
Pacific Wren,194301041,Dave Slager
MacGillivray's Warbler,194092781,Dave Slager
