,alt,src,species_code
1,Common Ostrich,214967371,ostric2
2,Common Ostrich,524930271,ostric2
3,Common Ostrich,70781991,ostric2
4,Common Ostrich,522383841,ostric2
5,Common Ostrich,136327781,ostric2
6,Common Ostrich,33501031,ostric2
7,Common Ostrich,100526051,ostric2
8,Common Ostrich,170804301,ostric2
9,Common Ostrich,136327751,ostric2
10,Common Ostrich,204565301,ostric2
11,Common Ostrich,613644086,ostric2
12,Common Ostrich,108092741,ostric2
13,Common Ostrich,50283481,ostric2
14,Common Ostrich,252186771,ostric2
15,Common Ostrich,82044011,ostric2
16,Common Ostrich,37228881,ostric2
17,Common Ostrich,92841861,ostric2
18,Common Ostrich,205477961,ostric2
19,Common Ostrich,204284651,ostric2
20,Common Ostrich,58424911,ostric2
21,Common Ostrich,63818221,ostric2
22,Common Ostrich,102332391,ostric2
23,Common Ostrich,85325201,ostric2
24,Common Ostrich,70783181,ostric2
25,Common Ostrich,79534751,ostric2
26,Common Ostrich,612051913,ostric2
27,Common Ostrich,612051905,ostric2
28,Common Ostrich,612051904,ostric2
29,Common Ostrich,539267771,ostric2
30,Somali Ostrich,204255831,ostric3
31,Somali Ostrich,79927051,ostric3
32,Somali Ostrich,204255841,ostric3
33,Somali Ostrich,611848172,ostric3
34,Somali Ostrich,60622081,ostric3
35,Somali Ostrich,49290681,ostric3
36,Somali Ostrich,205995601,ostric3
37,Somali Ostrich,50906511,ostric3
38,Somali Ostrich,79216261,ostric3
39,Somali Ostrich,79210461,ostric3
40,Somali Ostrich,95060511,ostric3
41,Somali Ostrich,102336971,ostric3
42,Somali Ostrich,204556691,ostric3
43,Somali Ostrich,204255821,ostric3
44,Somali Ostrich,79927001,ostric3
45,Somali Ostrich,205995591,ostric3
46,Somali Ostrich,204345421,ostric3
47,Somali Ostrich,205114211,ostric3
48,Somali Ostrich,32400731,ostric3
49,Somali Ostrich,204547951,ostric3
50,Somali Ostrich,107367951,ostric3
51,Somali Ostrich,107367941,ostric3
52,Somali Ostrich,204556681,ostric3
53,Somali Ostrich,87743721,ostric3
54,Somali Ostrich,205995581,ostric3
55,Somali Ostrich,204484901,ostric3
56,Somali Ostrich,69770551,ostric3
57,Somali Ostrich,204556671,ostric3
58,Somali Ostrich,205995571,ostric3
59,Somali Ostrich,117491081,ostric3
60,Greater Rhea,72353001,grerhe1
61,Greater Rhea,31529391,grerhe1
62,Greater Rhea,204243731,grerhe1
63,Greater Rhea,31529501,grerhe1
64,Greater Rhea,31529291,grerhe1
65,Greater Rhea,31529371,grerhe1
66,Greater Rhea,371087641,grerhe1
