name,image_id,cc,category
White-faced Storm-Petrel,413988131,JJ Harrison,seabirds
Yellow-tufted Honeyeater,186936111,JJ Harrison,honeyeaters
Buller's Albatross,463829651,JJ Harrison,seabirds
Channel-billed Cuckoo,371987231,Cary Lewis,misc
Southern Fulmar,344259701,Anonymous,seabirds
Pink-eared Duck,212604751,JJ Harrison,ducks
Pink Robin,190547851,Laurie Ross | Tracks Birding & Photography Tours,robins
Australian Owlet-nightjar,437743051,JJ Harrison,owl
Spotless Crake,536321001,JJ Harrison,rail_crake
Southern Royal Albatross,305348951,JJ Harrison,seabirds
Wilson's Storm-Petrel,413992911,JJ Harrison,seabirds
Brown Quail,213587491,David Irving,quails
Shining Bronze-Cuckoo,173816071,Mat Gilfedder,cuckoos
Double-eyed Fig-Parrot,115900841,Mat Gilfedder,parrots
Far Eastern Curlew,172907441,JJ Harrison,hard_waders
Purple-crowned Fairywren,185166141,Marc Gardner,fairywren
Soft-plumaged Petrel,413835881,JJ Harrison,seabirds
Western Spinebill,315861391,Gerald Allen,little_colourful_birds
Carpentarian Grasswren,324074521,Laurie Ross | Tracks Birding & Photography Tours,lbb
Squatter Pigeon,34481461,Luke Seitz,pigeons_doves
Spotted Pardalote,244501401,Indra Bone,little_colourful_birds
Azure Kingfisher,603291201,Martin Anderson,kingfishers
White-faced Storm-Petrel,414028861,JJ Harrison,seabirds
Palm Cockatoo,411133721,JJ Harrison,cockatoos
Little Pied Cormorant,612132589,David Southall,cormorant
Eastern Shrike-tit,335256161,Stephen Murray,songbird
Banded Lapwing,261086191,David Irving,plovers
Royal Penguin,612654987,Mark Lethlean,penguin
Dusky Grasswren,480427441,JJ Harrison,lbb
Spotted Quail-thrush,250043841,JJ Harrison,ground_mbb
Common Bronzewing,609722123,Elspeth M,pigeons_doves
Oriental Plover,164193491,Laurie Ross | Tracks Birding & Photography Tours,plovers
Red-lored Whistler,437156561,JJ Harrison,songbird
Variegated Fairywren,274868001,Mat Gilfedder,fairywren
White-necked Petrel,422779871,JJ Harrison,seabirds
Pale-yellow Robin,263376241,Len and Chris Ezzy,robins
Superb Parrot,392007681,JJ Harrison,parrots
Eastern Shrike-tit,132249401,JJ Harrison,songbird
Leaden Flycatcher,403524061,David Irving,wagfantail
Australian Owlet-nightjar,611482811,Bill O’Brien,owl
Gray Fantail,167731371,Ged Tranter,wagfantail
Gould's Petrel,413833021,JJ Harrison,seabirds
Little Buttonquail,389158341,David Sinnott,quails
Maned Duck,168534831,Ged Tranter,ducks
Splendid Fairywren,82182391,Ian Davies,fairywren
Striated Pardalote,458684281,Zebedee Muller,little_colourful_birds
Hooded Robin,182317851,JJ Harrison,robins
Southern Boobook,355863611,Brett Mezen,owl
Tawny Frogmouth,381131481,Andy Gee,owl
Pink Cockatoo,589306601,Elspeth M,cockatoos
Spotted Harrier,589640561,Martin Anderson,big_raptors
Ground Cuckooshrike,592751681,Laurie Ross | Tracks Birding & Photography Tours,cuckoos
Spotted Pardalote,99559531,David Ongley,little_colourful_birds
Spinifex Pigeon,72655771,Ged Tranter,pigeons_doves
Pink Robin,190547841,Laurie Ross | Tracks Birding & Photography Tours,robins
Little Buttonquail,452645181,David Sinnott,quails
Pink Cockatoo,396980961,Zebedee Muller,cockatoos
Varied Sittella,401391391,David Irving,lbb
Painted Firetail,481730611,JJ Harrison,finches
Common Bronzewing,456698091,Zebedee Muller,pigeons_doves
Splendid Fairywren,188516831,Elaine Rose,fairywren
Dusky Woodswallow,272497631,David Irving,swallows
Scaly-breasted Lorikeet,434956051,David Southall,parrots
Spinifex Pigeon,481018011,JJ Harrison,pigeons_doves
White-naped Honeyeater,186177691,JJ Harrison,honeyeaters
Australasian Darter,536318411,David Irving,cormorant
Pink Cockatoo,586398581,Elspeth M,cockatoos
Lewin's Rail,420896821,David Sinnott,rail_crake
Noisy Pitta,478980031,Ricky Goodyear,ground_birds
Carpentarian Grasswren,186112011,Laurie Ross | Tracks Birding & Photography Tours,lbb
Golden-shouldered Parrot,484180911,JJ Harrison,parrots
Black-necked Stork,344208151,Mat Gilfedder,egrets
Pheasant Coucal,614330937,Elspeth M,walking_birds
Australian Pipit,101088291,Terence Alexander,mbb
Red-backed Fairywren,608783619,Andreas Heikaus,fairywren
Superb Fairywren,173807711,JJ Harrison,fairywren
Brolga,350353901,Campbell Paine,egrets
Red-browed Firetail,189899841,Jill Duncan &  Ken Bissett,finches
Amsterdam Albatross,414292491,JJ Harrison,seabirds
Plumed Whistling-Duck,442371501,David Irving,ducks
Red-winged Parrot,611064658,Elspeth M,parrots
Tawny Frogmouth,72536801,Jan Clewett,owl
Buller's Albatross,594792581,Martin Allen,seabirds
White-headed Petrel,175305081,JJ Harrison,seabirds
Superb Fairywren,364841961,Zebedee Muller,fairywren
Orange-bellied Parrot,169029291,JJ Harrison,parrots
Spotted Harrier,590234541,Martin Anderson,big_raptors
