name,image_id,cc,category
Swainson's Hawk,579218321,Derek Hudgins,big_raptors
Northern Cardinal,296140181,Brian Berry,little_colourful_birds
White-eyed Vireo,462666471,Karl H (Hoeff ka),lbb
Eastern Phoebe,203600081,Lila Theis,robins
Red-shouldered Hawk,87283081,Byron Greco,big_raptors
Ruby-throated Hummingbird,334978431,Nell Marlowe,hummingbird
Northern Parula,618302241,Brooke Ross,lbb
Northern Parula,618302240,Brooke Ross,lbb
Northern Parula,618302239,Brooke Ross,lbb
Acadian Flycatcher,618302195,Brooke Ross,wagfantail
Acadian Flycatcher,618302194,Brooke Ross,wagfantail
Pileated Woodpecker,560969421,Karl H (Hoeff ka),woodpecker
Savannah Sparrow,296502501,Brian Berry,lbb
Pine Warbler,155519951,Jeff Corcoran,lbb
Lark Sparrow,227623201,Hannah Willars 🦆,lbb
Red-bellied Woodpecker,203599701,Lila Theis,woodpecker
Chimney Swift,617094275,Todd Love,swallows
Pileated Woodpecker,462666971,Karl H (Hoeff ka),woodpecker
Blue-headed Vireo,200201211,Jo Willars,lbb
White-crowned Sparrow,544118561,Kelsey Biles,lbb
Indigo Bunting,617229599,Amanda Koehler,lbb
American Crow,96478121,Dan Sherick,black_white
Chimney Swift,617094276,Todd Love,swallows
Wilson's Snipe,231849421,Zhen Li,colourful_waders
Carolina Wren,617252140,Lynn & Dale Mason,lbb
Great Egret,615281106,Amanda Koehler,egrets
Turkey Vulture,615280559,Amanda Koehler,big_raptors
Lincoln's Sparrow,613829357,Erik  Wolf,lbb
Spotted Towhee,611341658,Amanda Koehler,finches
Spotted Towhee,611341567,Amanda Koehler,finches
American Robin,611273775,Amanda Koehler,robins
Common Yellowthroat,609935102,Amanda Koehler,little_colourful_birds
Common Yellowthroat,609933116,Amanda Koehler,little_colourful_birds
Northern House Wren,609711798,Amanda Koehler,lbb
Northern House Wren,609711493,Amanda Koehler,lbb
Red-bellied Woodpecker,608916022,Amanda Koehler,woodpecker
Summer Tanager,608915197,Amanda Koehler,little_colourful_birds
Rose-breasted Grosbeak,560118311,DEBBIE MC,finches
Cedar Waxwing,560117261,DEBBIE MC,little_colourful_birds
Lincoln's Sparrow,559312511,DEBBIE MC,lbb
Ruby-throated Hummingbird,553656021,Amanda Koehler,hummingbird
Sharp-shinned Hawk,541988421,Barbara Zorn,big_raptors
Loggerhead Shrike,541276101,Amanda Koehler,songbird
Red-tailed Hawk,525065381,Amanda Koehler,big_raptors
White-throated Sparrow,508886701,Amanda Koehler,lbb
Black-headed Grosbeak,497083691,Charlene Koehler,finches
Barred Owl,462924111,Karl H (Hoeff ka),owl
Northern Cardinal,419257521,Van Remsen,little_colourful_birds
Scissor-tailed Flycatcher,146547421,Ben Lucking | WINGS,wagfantail
European Starling,297089521,Bill Wright_cc,ground_mbb
Chipping Sparrow,296122251,Brian Berry,lbb
Swainson's Hawk,579218391,Derek Hudgins,big_raptors
Scissor-tailed Flycatcher,181146961,Yve Morrell,wagfantail
American Crow,52861581,Sandi Templeton,black_white
Upland Sandpiper,227608131,Hannah Willars 🦆,plovers
Barn Swallow,208742931,Stephen Gast,swallows
Northern Parula,618302238,Brooke Ross,lbb
Eastern Kingbird,617094299,Todd Love,wagfantail
Northern Mockingbird,614912832,Bill Wright_cc,wagfantail
Northern Flicker (Yellow-shafted),614129742,Erik  Wolf,woodpecker
Spotted Towhee,611341611,Amanda Koehler,finches
Orchard Oriole,609360248,Barbara Zorn,honeyeaters
Great Crested Flycatcher,609360097,Barbara Zorn,wagfantail
Alder Flycatcher,608917806,Amanda Koehler,wagfantail
Red-bellied Woodpecker,602534331,Amanda Koehler,woodpecker
Pileated Woodpecker,560969481,Karl H (Hoeff ka),woodpecker
Blue Grosbeak,560118571,DEBBIE MC,finches
Chipping Sparrow,559310791,DEBBIE MC,lbb
Mourning Dove,559310181,DEBBIE MC,pigeons_doves
Orchard Oriole,559309501,DEBBIE MC,honeyeaters
Pileated Woodpecker,415513371,Erik  Wolf,woodpecker
Ruby-throated Hummingbird,483911491,DEBBIE MC,hummingbird
Red-shouldered Hawk,483909331,DEBBIE MC,big_raptors
Rock Pigeon (Feral Pigeon),300661871,Erik  Wolf,pigeons_doves
Eastern Kingbird,227609971,Hannah Willars 🦆,wagfantail
Swainson's Warbler,218609391,Darrell Vollert,lbb
Blue-headed Vireo,200212731,Jo Willars,lbb
Orange-crowned Warbler,296140381,Brian Berry,lbb
Carolina Chickadee,419257371,Van Remsen,tit
Ruby-throated Hummingbird,470569331,DEBBIE MC,hummingbird
Carolina Wren,581069661,DEBBIE MC,lbb
Ruby-throated Hummingbird,483911481,DEBBIE MC,hummingbird
Painted Bunting,483911061,DEBBIE MC,lbb
Ruby-throated Hummingbird,483910201,DEBBIE MC,hummingbird
Indigo Bunting,181147181,Yve Morrell,lbb
Northern Parula,618302237,Brooke Ross,lbb
Alder Flycatcher,608916652,Amanda Koehler,wagfantail
Alder Flycatcher,608916649,Amanda Koehler,wagfantail
American Crow,541278241,Amanda Koehler,black_white
Orchard Oriole,623291486,Amanda Koehler,honeyeaters
Couch's Kingbird,612058769,Amanda Koehler,wagfantail
Alder Flycatcher,608917133,Amanda Koehler,wagfantail
Prothonotary Warbler,608678488,Erik  Wolf,lbb
Downy Woodpecker,518018721,Amanda Koehler,woodpecker
Northern Harrier,506093911,Amanda Koehler,big_raptors
