name,image_id,cc,category
Great Gray Owl,40662221,Luke Seitz,owl
Evening Grosbeak,325771901,John Jansen,finches
Black Tern,581235401,Jeff Dyck,seabirds
Iceland Gull,405469641,Brian Stahls,seabirds
Black-throated Green Warbler,162041181,Ronnie d'Entremont,lbb
Eastern Screech-Owl,425510611,Jack Starret,owl
Boreal Chickadee,314893531,Blair Dudeck,tit
Barred Owl,274833311,Paul Jones,owl
King Eider,613014934,Cesar Ponce,funky_ducks
Wood Duck,421340531,Blair Dudeck,ducks
Red Phalarope,164263281,Paul Jones,colourful_waders
Great Gray Owl,298238121,Bob Bowhay,owl
Cliff Swallow,432138011,Anne Spiers,swallows
Northern Gannet,345123631,Blair Dudeck,seabirds
Gyrfalcon,287057781,Bob Bowhay,small_raptors
Golden-crowned Kinglet,432993771,Ezra J. Campanelli,lbb
Piping Plover,458290011,Shey S,plovers
Black Scoter,521747701,Charles Villeneuve,funky_ducks
Long-billed Curlew,561412711,Jeff Dyck,hard_waders
Spruce Grouse,338127941,Blair Dudeck,quails
American Avocet,432881051,Blair Dudeck,colourful_waders
Evening Grosbeak,120277321,bellemare celine,finches
Northern Pintail,389630751,Vasura Jayaweera,ducks
Spruce Grouse,339829031,Blair Dudeck,quails
Northern Harrier,386756111,Blair Dudeck,big_raptors
American Crow,269969201,Gord Gadsden,black_white
Black Oystercatcher,407009991,Sunny Zhang,plovers
Pileated Woodpecker,393630551,Paul Jones,woodpecker
Yellow Rail,470129351,Blair Dudeck,rail_crake
Eurasian Wigeon,308914881,Blair Dudeck,ducks
Prothonotary Warbler,449347051,Old Bird,lbb
American Goshawk,145879351,Daniel Jauvin,big_raptors
Canada Warbler,102429891,Ian Davies,lbb
Baird's Sandpiper,477901531,Marie-Josee D'Amour,plovers
Wood Duck,310017821,Blair Dudeck,ducks
Yellow-rumped Warbler,322695581,Liron Gertsman,lbb
Swamp Sparrow,342203811,Blair Dudeck,lbb
Boreal Owl,374205861,Frédérick Lelièvre,owl
Red-throated Loon,313848351,David Turgeon,puffin_and_co
American Pipit,339405171,Blair Dudeck,mbb
Dovekie,512179111,Kiah R. Jasper,pigeons_doves
Pine Grosbeak,292811171,Zane Shantz,finches
Anna's Hummingbird,397919471,Blair Dudeck,hummingbird
Black Tern,592481491,Josiah Vandenberg,seabirds
Cassin's Auklet,431592851,Blair Dudeck,puffin_and_co
Barred Owl,247504741,mark daly,owl
Spruce Grouse,166827671,Blair Dudeck,quails
Tufted Duck,316959041,Blair Dudeck,ducks
Red Crossbill,286231041,Sean McElaney,little_colourful_birds
Boreal Chickadee,412884221,Patrice St-Pierre,tit
Calliope Hummingbird,164983801,Caroline Lambert,hummingbird
Northern Saw-whet Owl,313853171,Zane Shantz,owl
Least Bittern,365335231,Frédérick Lelièvre,herons
Northern Cardinal,391691941,Brian Stahls,little_colourful_birds
American Robin,427472321,Zane Shantz,robins
Sanderling,262223411,Amanda Guercio,plovers
Yellow-rumped Warbler,316946791,James MacKenzie,lbb
Common Eider,182621121,Alix d'Entremont,funky_ducks
Ruffed Grouse,331931941,Steeve R. Baker,quails
Bald Eagle,420273491,Cesar Ponce,big_raptors
Smith's Longspur,455619821,Joachim Bertrands,lbb
Evening Grosbeak,276832781,Diane St-Jacques,finches
Great Gray Owl,400528711,Frédérick Lelièvre,owl
Pectoral Sandpiper,237548831,Geoff Newhouse,plovers
Ruffed Grouse,311516851,Laurie Parent,quails
White-breasted Nuthatch,296422131,Zane Shantz,lbb
Eastern Screech-Owl,108740051,Suzanne Labbé,owl
Common Murre,377736591,Blair Dudeck,puffin_and_co
American Crow,286868001,Ian Routley,black_white
Northern Cardinal,281003001,Stefano Ianiro,little_colourful_birds
Canada Jay,399203001,Kyle  Swanson,robins
Purple Sandpiper,275657851,Ezra J. Campanelli,plovers
Virginia Rail,228108621,Cristina Araya,rail_crake
Upland Sandpiper,458343501,Blair Dudeck,plovers
King Eider,613014988,Cesar Ponce,funky_ducks
Red-breasted Sapsucker,168058451,Bryan Calk,woodpecker
Violet-green Swallow,432555151,Blair Dudeck,swallows
Short-eared Owl,43274721,Suzanne Labbé,owl
Black Tern,581235581,Jeff Dyck,seabirds
Green-winged Teal,322559021,Rob Mikulec,ducks
Rough-legged Hawk,414568271,Blair Dudeck,big_raptors
American Wigeon,429459141,James Patten,ducks
Varied Thrush,430744711,Blair Dudeck,ground_mbb
Blue Jay,47351251,bellemare celine,robins
Green-winged Teal,296005431,Rob Mikulec,ducks
Anna's Hummingbird,167838031,Bryan Calk,hummingbird
Sabine's Gull,375291951,Kalin Ocaña,seabirds
Great Horned Owl,403189511,Asher  Warkentin,owl
Blackburnian Warbler,450873711,Ethan Denton,lbb
Great Shearwater,359838351,Blair Dudeck,seabirds
Northern Harrier,384701741,Blair Dudeck,big_raptors
Red-headed Woodpecker,450490411,Rain Saulnier,woodpecker
Anna's Hummingbird,217677861,George Clulow,hummingbird
Boreal Chickadee,321030981,Blair Dudeck,tit
Northern Shoveler,326762921,Frédérick Lelièvre,ducks
Northern Parula,492845051,Joachim Bertrands,lbb
Bay-breasted Warbler,102429521,Ian Davies,lbb
Red Crossbill,345704621,Ian Burgess,little_colourful_birds
Great Shearwater,360791001,Blair Dudeck,seabirds
Sooty Grouse,232963131,Blair Dudeck,quails
Rock Ptarmigan,327325551,Blair Dudeck,quails
Barred Owl,311948691,Blair Dudeck,owl
Pomarine Jaeger,357449521,Blair Dudeck,seabirds
Western Kingbird,28952841,Gerrit Vyn,wagfantail
Merlin,359173731,Nick Saunders,small_raptors
Curlew Sandpiper,482737721,Ilya Povalyaev,hard_waders
Bonaparte's Gull,472662591,David Turgeon,seabirds
Anna's Hummingbird,117114791,Ian Routley,hummingbird
Steller's Sea-Eagle,476730421,Amanda Guercio,big_raptors
Hermit Thrush,346844731,mark daly,ground_mbb
Cape May Warbler,448672111,Annie McLeod,lbb
Common Goldeneye,436626521,Simon Villeneuve,funky_ducks
Gyrfalcon,210318171,Jon Groves,small_raptors
Common Eider,438322771,David Turgeon,funky_ducks
Wilson's Phalarope,301875121,David Turgeon,colourful_waders
White-eyed Vireo,387876921,Frédérick Lelièvre,lbb
Ruby-throated Hummingbird,301277181,David Turgeon,hummingbird
Piping Plover,473868161, Ben Lucking,plovers
Willet,432466511,Shey S,hard_waders
Atlantic Puffin,486520581,Dorian Anderson,puffin_and_co
Lewis's Woodpecker,341966341,Ian Routley,woodpecker
Black-bellied Whistling-Duck,364453171,Rowan Keunen,ducks
Tundra Swan,384291031,Makail Johannesson,geese
Golden-winged Warbler,159839731,Sylvain Messier,lbb
American Avocet,464667121,Blair Dudeck,colourful_waders
Black Scoter,312732661,David Turgeon,funky_ducks
Evening Grosbeak,403638701,Frédérick Lelièvre,finches
American Goshawk,139626301,Daniel Jauvin,big_raptors
White-winged Crossbill,416488191,Zane Shantz,little_colourful_birds
Short-eared Owl,407977671,Guy Stevens,owl
Horned Grebe,45349051,Kyle Blaney,water_birds
Sooty Grouse,390986771,mark daly,quails
Gadwall,386137411,Charles Fitzpatrick,ducks
Boreal Owl,420278441,Simon Villeneuve,owl
Peregrine Falcon,503628671,Owen Strickland,small_raptors
Spruce Grouse,447005731,Blair Dudeck,quails
Violet-green Swallow,433182101,Blair Dudeck,swallows
Golden-crowned Kinglet,331031381,David Turgeon,lbb
Bohemian Waxwing,413672761,Ethan Denton,little_colourful_birds
Red Crossbill,285012151,Nolan Pelland,little_colourful_birds
Boreal Owl,312839401,Ken Pride,owl
House Finch,401965731,Blair Dudeck,finches
Black Tern,581235721,Jeff Dyck,seabirds
Hermit Thrush,274059171,Peter Hawrylyshyn,ground_mbb
American Goshawk,145902431,Daniel Jauvin,big_raptors
Bufflehead,316788461,Cesar Ponce,funky_ducks
Surfbird,207415921,Paul Maury,hard_waders
Great Blue Heron,537625101,Danielle Cooper,herons
Flammulated Owl,93014861,James Kennerley,owl
American Dipper,409416961,Blair Dudeck,mbb
Purple Sandpiper,301851271,Christian Briand,plovers
Ruffed Grouse,332468941,Christian Briand,quails
Wilson's Phalarope,472597381,Blair Dudeck,colourful_waders
Dark-eyed Junco,330239651,David Turgeon,lbb
Atlantic Puffin,490687361,Dorian Anderson,puffin_and_co
Common Goldeneye,316627441,Rob Mikulec,funky_ducks
Northern Fulmar,371904131,Blair Dudeck,seabirds
Ruffed Grouse,485244381,Frédérick Lelièvre,quails
Eastern Screech-Owl,108740061,Suzanne Labbé,owl
Cooper's Hawk,394568641,Anne-Marie Dufour,big_raptors
Bohemian Waxwing,134340871,Daniel Jauvin,little_colourful_birds
Spruce Grouse,337113151,Megan Buers,quails
Northern Pintail,71206681,Liron Gertsman,ducks
Bohemian Waxwing,288739991,Zane Shantz,little_colourful_birds
Peregrine Falcon,391400401,Brian Stahls,small_raptors
Townsend's Warbler,301586641,David Turgeon,lbb
Black-throated Blue Warbler,50366231,Aaron Marshall,lbb
Northern Hawk Owl,315895351,Bob Bowhay,big_raptors
Trumpeter Swan,335636821,Raymond Ladurantaye,geese
Ruffed Grouse,37799001,bellemare celine,quails
Eastern Bluebird,337841431,Zane Shantz,little_colourful_birds
Cedar Waxwing,240239681,Joshua Brown,little_colourful_birds
Roseate Spoonbill,608517762,Frédérick Lelièvre,egrets
Killdeer,503456881,Rain Saulnier,plovers
American Dipper,408642101,Blair Dudeck,mbb
Long-tailed Duck,438674351,David Turgeon,ducks
Bald Eagle,302665641,Evan Larson,big_raptors
Tree Swallow,440582981,Brian Stahls,swallows
Yellow-bellied Sapsucker,325608001,Zane Shantz,woodpecker
Chestnut-backed Chickadee,123130061,John Reynolds,tit
Nelson's Sparrow,306724111,David Turgeon,lbb
Baird's Sandpiper,397386741,Asher  Warkentin,plovers
American Dipper,565803021,mark daly,mbb
Violet-green Swallow,435957851,Blair Dudeck,swallows
Northern Saw-whet Owl,423281211,Zane Shantz,owl
Carolina Wren,90418581,Christoph Moning,lbb
Red Crossbill,202628831,Daniel Jauvin,little_colourful_birds
Canada Warbler,102429901,Ian Davies,lbb
Wilson's Phalarope,453743571,Blair Dudeck,colourful_waders
Northern Shrike,44213481,Ian Burgess,songbird
Peregrine Falcon,326932681,Amanda Guercio,small_raptors
Anna's Hummingbird,391853451,Blair Dudeck,hummingbird
Cape May Warbler,102429471,Ian Davies,lbb
Pileated Woodpecker,54346191,bellemare celine,woodpecker
Blue-headed Vireo,339607841,Rebecca Maier,lbb
Western Kingbird,308664121,Ethan Denton,wagfantail
Common Ringed Plover,175591181,Annie Lavoie,plovers
Bohemian Waxwing,53359161,Ian Davies,little_colourful_birds
Sooty Grouse,325631951,Blair Dudeck,quails
Steller's Sea-Eagle,476730651,Amanda Guercio,big_raptors
Redhead,340268431,David Turgeon,ducks
Harlequin Duck,507453541,Brian Stahls,ducks
Purple Martin,492435031,Joachim Bertrands,swallows
Belted Kingfisher,474434481,Annie Lavoie,kingfishers
Buff-breasted Sandpiper,265634921,Jason Dain,plovers
Brewer's Blackbird,309503231,Blair Dudeck,ground_mbb
Barrow's Goldeneye,319455931,David Turgeon,funky_ducks
Black-and-white Warbler,611359371,Dorian Anderson,lbb
Cliff Swallow,562888881,Rain Saulnier,swallows
Red-necked Grebe,587669181, Ben Lucking,water_birds
Horned Lark,491524781,Christian Briand,mbb
Wilson's Warbler,300842501,Zane Shantz,lbb
Red-necked Grebe,581235221,Jeff Dyck,water_birds
Canada Warbler,102719381,Ian Davies,lbb
Black-billed Cuckoo,450566571,Zane Shantz,cuckoos
Spruce Grouse,220659031,Jason Dain,quails
White-winged Crossbill,207212191,Tony Dvorak,little_colourful_birds
Double-crested Cormorant,226976721,Allan  Bigras,cormorant
Snowy Owl,473852511,Zane Shantz,owl
Red Knot,361783921,Old Bird,hard_waders
Snow Bunting,403030271,Anne-Marie Dufour,lbb
Cinnamon Teal,433956961,Blair Dudeck,ducks
Varied Thrush,401726571,mark daly,ground_mbb
Rusty Blackbird,493062561,Zane Shantz,ground_mbb
Purple Finch,313986001,James MacKenzie,finches
Common Loon,609456165,Rain Saulnier,puffin_and_co
Cooper's Hawk,183984001,Suzanne Labbé,big_raptors
Long-tailed Duck,318604331,Brian Stahls,ducks
Common Tern,250208911,Lyall Bouchard,seabirds
Sooty Grouse,570147161,Blair Dudeck,quails
Black-capped Chickadee,430641551,Ezra J. Campanelli,tit
American Kestrel,563171061,Albini Couture,small_raptors
Red-winged Blackbird,428489531,Blair Dudeck,ground_mbb
Golden-crowned Kinglet,523092801,Zane Shantz,lbb
Horned Grebe,428342961,Brian Stahls,water_birds
Ruffed Grouse,526180431,Annie Lavoie,quails
