name,image_id,cc,category
Brown Booby,255247461,yann muzika,seabirds
Steller's Sea-Eagle,20060851,Ian Davies,big_raptors
Daurian Redstart,388744171,Saku Saku,robins
Warbling White-eye,173309281,Natthaphat Chotjuckdikul,lbb
Blakiston's Fish-Owl,26859651,Ian Davies,owl
Whooper Swan,65426221,Christoph Moning,geese
Siberian Thrush,579413791,Kasia & Takashi Someya,ground_mbb
Warbling White-eye,317165211,Natthaphat Chotjuckdikul,lbb
Okinawa Rail,266992571,yann muzika,rail_crake
Steller's Sea-Eagle,26859521,Ian Davies,big_raptors
Harlequin Duck,26860111,Ian Davies,ducks
White-naped Crane,65591651,Christoph Moning,egrets
Brown Booby,265791501,yann muzika,seabirds
Radde's Warbler,609495566,Shigeyuki Mukawa,lbb
Common Merganser,509781661,John Clough,funky_ducks
Ural Owl,198773431,yann muzika,owl
Little Tern,241113041,yann muzika,seabirds
Whooper Swan,65426261,Christoph Moning,geese
Blakiston's Fish-Owl,33106581,Andrew Spencer,owl
Glaucous-winged Gull,65437781,Christoph Moning,seabirds
Brown Dipper,386907341,Saku Saku,mbb
Okinawa Rail,103438221,Anonymous,rail_crake
Baer's Pochard,261516871,yann muzika,ducks
Blakiston's Fish-Owl,26859641,Ian Davies,owl
Baikal Teal,245258841,William Price,ducks
Blakiston's Fish-Owl,26859631,Ian Davies,owl
Eurasian Wren,559165571,Kasia & Takashi Someya,lbb
Black-tailed Gull,76326981,Eric VanderWerf,seabirds
Green-winged Teal,219925031,Ayuwat Jearwattanakanok,ducks
Taiga Bean-Goose,81255571,Ayuwat Jearwattanakanok,geese
Steller's Sea-Eagle,26859531,Ian Davies,big_raptors
Swinhoe's Snipe,266995821,yann muzika,colourful_waders
Eurasian Wigeon,203849601,Charley Hesse TROPICAL BIRDING,ducks
Large-billed Crow,26860351,Ian Davies,black_white
Ijima's Leaf Warbler,93917941,yann muzika,lbb
Brown-eared Bulbul,65428321,Christoph Moning,ground_mbb
Blakiston's Fish-Owl,33106601,Andrew Spencer,owl
Hooded Crane,65590161,Christoph Moning,egrets
Streaked Shearwater,265781311,yann muzika,seabirds
Ryukyu Robin,26854261,Ian Davies,robins
Meadow Bunting,176478141,Natthaphat Chotjuckdikul,lbb
Brown Dipper,386907321,Saku Saku,mbb
Hooded Crane,65590151,Christoph Moning,egrets
Daurian Redstart,388744241,Saku Saku,robins
Brown Booby,255247371,yann muzika,seabirds
Glaucous-winged Gull,65426371,Christoph Moning,seabirds
Whooper Swan,65426191,Christoph Moning,geese
Siberian Thrush,579562001,Kasia & Takashi Someya,ground_mbb
Dusky Thrush,543548051,Sandy Luk,ground_mbb
Ruddy Turnstone,382855671,Ayuwat Jearwattanakanok,colourful_waders
Long-tailed Rosefinch,532745661,Graham Gerdeman,finches
Bonin White-eye,206017701,Lars Petersson | My World of Bird Photography,lbb
