name,image_id,cc,category
Least Bittern,166003391,Davey Walters,herons
Golden-crowned Kinglet,289734871,Bryan Calk,lbb
American Barn Owl,75210971,Ian Davies,owl
Northern Cardinal,257386271,Suzie McCann,little_colourful_birds
Aplomado Falcon,87875731,Christian Fernandez,small_raptors
American Barn Owl,75210961,Ian Davies,owl
Roseate Spoonbill,45293111,Darren Clark,egrets
Painted Bunting,257386421,Suzie McCann,lbb
Golden-cheeked Warbler,246469891,Bryan Calk,lbb
Golden Eagle,275690361,Bryan Calk,big_raptors
White Ibis,407906431,Dorian Anderson,black_white
Green Heron,619463486,Joshua Zhou,herons
Montezuma Quail,636174225,Tony Dvorak,quails
Whooping Crane,418288261,Skye Haas,egrets
Scaled Quail,505635631,Ryan Sanderson,quails
White-tailed Kite,419728831,Matt Felperin,big_raptors
Least Grebe,140771771,Daniel Grossi,water_birds
Killdeer,622589119,Janet Hix,plovers
Red-winged Blackbird,464819251,Connor Cochrane,ground_mbb
Mottled Owl,635087526,Tony Dvorak,owl
Sharp-shinned Hawk,277340471,Zeno Taylord-Hawk,big_raptors
American Pipit,421407771,Matt Felperin,mbb
Tricolored Heron,513609221,Ryan Sanderson,herons
American Redstart,91183901,Ian Davies,robins
Roseate Spoonbill,212436171,Susan Teefy,egrets
Bat Falcon,399511851,Chris Bick,small_raptors
Golden-cheeked Warbler,241476451,Bryan Calk,lbb
Black-necked Stilt,508329791,Ryan Sanderson,colourful_waders
Summer Tanager,63525591,Alex Burdo,little_colourful_birds
Yellow-crowned Night Heron,598804751,Janet Hix,herons
Greater Yellowlegs,409359061,Dorian Anderson,hard_waders
Reddish Egret,395895991,Bryan Calk,egrets
White Ibis,408151411,Dorian Anderson,black_white
Aplomado Falcon,609586007,Ryan Rodriguez,small_raptors
Harris's Hawk,290246811,Bryan Calk,big_raptors
Roseate Spoonbill,45293081,Darren Clark,egrets
Blue Grosbeak,41644021,Cliff Peterson,finches
Northern Mockingbird,303623961,John Missing,wagfantail
Scissor-tailed Flycatcher,53545761,Ryan Shaw,wagfantail
Elf Owl,239801871,Bryan Calk,owl
Painted Bunting,240999511,Bryan Calk,lbb
Ferruginous Pygmy-Owl,164786491,John Kuenzli,owl
Northern Cardinal,85682121,Graham Montgomery,little_colourful_birds
Greater Yellowlegs,411223011,Dorian Anderson,hard_waders
American Coot,85701561,Scott Martin,water_birds
Tricolored Heron,189262911,Dorian Anderson,herons
Tricolored Heron,508020281,Ryan Sanderson,herons
Whooping Crane,134235031,Timo Mitzen,egrets
Western Sandpiper,318063811,Andy Liu,plovers
Green Heron,86478551,Scott Martin,herons
Hepatic Tanager,350448271,Bryan Calk,little_colourful_birds
Ruby-crowned Kinglet,122886261,Mike Stewart,lbb
Nashville Warbler,271371841,Ad Konings,lbb
Scaled Quail,505635641,Ryan Sanderson,quails
American Barn Owl,75210981,Ian Davies,owl
Red-tailed Hawk,578928681,Alex Sundvall,big_raptors
American Avocet,229745231,Ad Konings,colourful_waders
Piping Plover,411685711,Dorian Anderson,plovers
Northern Mockingbird,158469861,Dean Hester,wagfantail
Common Ground Dove,250187941,Suzie McCann,pigeons_doves
Varied Bunting,340588781,Bryan Calk,lbb
Baltimore Oriole,98884111,Bryan Calk,honeyeaters
Northern Cardinal,85682141,Graham Montgomery,little_colourful_birds
Clapper Rail,380174561,Aaron Boone,rail_crake
Marbled Godwit,550428001,Dorian Anderson,hard_waders
Mottled Owl,611432822,Ryan Rodriguez,owl
Peregrine Falcon,312100071,Ian Davies,small_raptors
Hook-billed Kite,208115701,Marvin Pfeiffer,big_raptors
King Rail,100841471,Paul Fenwick,rail_crake
Scaled Quail,506031791,Ryan Sanderson,quails
Buff-bellied Hummingbird,55933431,Volker Hesse,hummingbird
Blue Bunting,452784701,Ryan Rodriguez,lbb
Scaled Quail,389091521,Brandon Nidiffer,quails
Eastern Screech-Owl,232373651,Cole Winstanley,owl
Black-bellied Whistling-Duck,505137421,Ryan Sanderson,ducks
Red-winged Blackbird,616180503,Alex Cox,ground_mbb
Western Sandpiper,510194271,Ryan Sanderson,plovers
Green Jay,79048551,Scott Martin,robins
Pied-billed Grebe,310881841,Andy Liu,water_birds
Green Jay,90024821,Jonathan Eckerson,robins
Black-capped Vireo,626996646,Dubi Shapiro,lbb
Short-billed Dowitcher,187630621,Dorian Anderson,hard_waders
Scissor-tailed Flycatcher,342563391,Aaron Boone,wagfantail
White Ibis,423696681,Matt Felperin,black_white
Audubon's Oriole,428291481,Bryan Calk,honeyeaters
Golden-fronted Woodpecker,239633081,Bryan Calk,woodpecker
Mottled Owl,611432818,Ryan Rodriguez,owl
American Barn Owl,91185011,Ian Davies,owl
Golden-cheeked Warbler,246470001,Bryan Calk,lbb
Aplomado Falcon,89601321,Tom Johnson,small_raptors
Inca Dove,515065911,Ryan Sanderson,pigeons_doves
Least Bittern,166003361,Davey Walters,herons
Eastern Kingbird,94902721,Marky Mutchler,wagfantail
Harris's Hawk,290246931,Bryan Calk,big_raptors
Buff-bellied Hummingbird,65502361,Alex Lamoreaux,hummingbird
Tamaulipas Crow,75166141,Bryan Calk,black_white
Bat Falcon,419301391,Cameron Carver,small_raptors
Varied Bunting,340588691,Bryan Calk,lbb
Bat Falcon,400941521,Anonymous,small_raptors
Lark Sparrow,246945491,Bryan Calk,lbb
Northern Shoveler,85701251,Scott Martin,ducks
Mottled Owl,632592503,Jack Parlapiano,owl
Short-billed Dowitcher,508613641,Ryan Sanderson,hard_waders
Least Tern,242303031,Harlan Stewart,seabirds
Black-bellied Whistling-Duck,65549841,Bryan Calk,ducks
Altamira Oriole,427638161,Bryan Calk,honeyeaters
Short-billed Dowitcher,187630851,Dorian Anderson,hard_waders
Northern Cardinal,336661461,Dorian Anderson,little_colourful_birds
Black-crested Titmouse,197705091,Bryan Calk,tit
Golden-cheeked Warbler,241476671,Bryan Calk,lbb
Eastern Kingbird,157428421,Liam Wolff,wagfantail
Pine Siskin,275581001,Ad Konings,little_colourful_birds
Scissor-tailed Flycatcher,121013841,Brad Imhoff,wagfantail
Swainson's Thrush,350000391,Bob Walker,ground_mbb
Dunlin,509163261,Ryan Sanderson,plovers
Cooper's Hawk,282069881,Zeno Taylord-Hawk,big_raptors
Lincoln's Sparrow,429726501,Kevin Long,lbb
Golden-fronted Woodpecker,257386731,Suzie McCann,woodpecker
Neotropic Cormorant,346247421,Don Danko,cormorant
Marbled Godwit,287803851,Brandon Nidiffer,hard_waders
Cassin's Sparrow,473109511,Joshua Ward,lbb
Green Jay,85950561,Marky Mutchler,robins
Western Sandpiper,137933661,Mike Cameron,plovers
Summer Tanager,63528721,Alex Burdo,little_colourful_birds
King Rail,55823131,Luke Seitz,rail_crake
Whooping Crane,63348311,Tom Johnson,egrets
Colima Warbler,100891481,Bradley Hacker 🦜,lbb
Aplomado Falcon,52535591,Darren Clark,small_raptors
Eastern Screech-Owl,357640671,Ty Allen,owl
Reddish Egret,513668431,Ryan Sanderson,egrets
Whooping Crane,84999151,Bill Morris,egrets
Reddish Egret,164095191,Stephen Gast,egrets
Painted Bunting,121005441,Brad Imhoff,lbb
Scissor-tailed Flycatcher,152445511,Liam Wolff,wagfantail
Kelp Gull,438080561,Alex Lamoreaux,seabirds
Loggerhead Shrike,223520221,Andy Liu,songbird
Fulvous Whistling-Duck,168786551,Harlan Stewart,ducks
American Avocet,93961451,Katherine Cavazos,colourful_waders
Scissor-tailed Flycatcher,188444451,Drew Weber,wagfantail
Yellow-bellied Sapsucker,89432221,Mike Cameron,woodpecker
White-tailed Hawk,63350361,Tom Johnson,big_raptors
White-tailed Hawk,125570151,Declan O’Neil,big_raptors
Reddish Egret,436884061,Liam Huber,egrets
Bat Falcon,419153241,Matt Felperin,small_raptors
Black-necked Stilt,196364321,Harlan Stewart,colourful_waders
Whooping Crane,63348281,Tom Johnson,egrets
Mottled Duck,157428671,Liam Wolff,ducks
Black-bellied Whistling-Duck,407906621,Johannes Hogrefe,ducks
Green-tailed Towhee,324290971,Bryan Calk,finches
Tropical Parula,346955231,Bryan Calk,lbb
Sanderling,550731271,Dorian Anderson,plovers
Blue Bunting,615082432,Ken  Blackford,lbb
American Kestrel,514211821,Ryan Sanderson,small_raptors
Roseate Spoonbill,212436181,Susan Teefy,egrets
Yellow-crowned Night Heron,571259681,Richard Rulander,herons
Fulvous Whistling-Duck,617066477,Brandon Nidiffer,ducks
Rock Wren,131425171,Bryan Calk,lbb
Social Flycatcher,501972311,Ryan Sanderson,wagfantail
Scaled Quail,429963621,Bryan Calk,quails
Scissor-tailed Flycatcher,151144021,Marky Mutchler,wagfantail
Great-tailed Grackle,140722421,Harlan Stewart,ground_mbb
Green Parakeet,417259851,Bryan Calk,parrots
Tropical Parula,164742181,John Kuenzli,lbb
Red-crowned Amazon,428730251,Bryan Calk,black_white
Caspian Tern,318064111,Andy Liu,seabirds
Cackling Goose,320667751,Liam Wolff,geese
Pied-billed Grebe,87391221,Scott Martin,water_birds
Painted Bunting,240054341,Bryan Calk,lbb
Black-crested Titmouse,83889341,Scott Martin,tit
Mottled Owl,611969414,Lizabeth Southworth,owl
Black-crested Titmouse,124550771,Scott Martin,tit
Cliff Swallow,625368881,Joshua Zhou,swallows
Black-bellied Whistling-Duck,180268881,Don Danko,ducks
Black-crowned Night Heron,603939921,Ryan Rodriguez,herons
Dunlin,509163271,Ryan Sanderson,plovers
Scarlet Tanager,27395181,Brian Sullivan,little_colourful_birds
Altamira Oriole,146339491,Tyler Ficker,honeyeaters
Harris's Hawk,290246941,Bryan Calk,big_raptors
Green Jay,257386701,Suzie McCann,robins
Orchard Oriole,238868701,Bryan Calk,honeyeaters
Brown Jay,632378134,Ava Kornfeld,robins
Altamira Oriole,405181611,Skyler Bol,honeyeaters
Eastern Phoebe,519668981,Jonathan Taffet,robins
Least Sandpiper,168285531,Mike Cameron,plovers
Bay-breasted Warbler,123675351,Bryan Calk,lbb
Black-capped Vireo,249223851,Bryan Calk,lbb
Eastern Towhee,94440541,Mike Stewart,finches
Inca Dove,117091791,Mike Stewart,pigeons_doves
American Barn Owl,91185021,Ian Davies,owl
Blue Grosbeak,252318671,Scott Holt,finches
Western Screech-Owl,336181521,Bryan Calk,owl
Mississippi Kite,176534161,Janet Hix,big_raptors
Short-billed Dowitcher,187630801,Dorian Anderson,hard_waders
Western Screech-Owl,452962321,Liam Wolff,owl
Purple Sandpiper,411775681,Javi Gonzalez,plovers
Eastern Wood-Pewee,338380231,Russ Morgan,wagfantail
Black-bellied Whistling-Duck,165863761,Davey Walters,ducks
Willet,155653111,Ian Davies,hard_waders
American Coot,399687381,Ty Allen,water_birds
Mottled Owl,623281418,Jack Rogers,owl
Wood Stork,397265071,Bryan Calk,egrets
Great Blue Heron,519000151,Janet Hix,herons
Aplomado Falcon,171566341,Ethan Lai,small_raptors
Painted Bunting,161536971,Laura Keene,lbb
Brown Pelican,284479351,Robert Michaelson,water_birds
Say's Phoebe,348405671,Ronan Nicholson,robins
Reddish Egret,333201001,Jonathan Eckerson,egrets
American Redstart,91183721,Ian Davies,robins
Green-tailed Towhee,329140981,Ad Konings,finches
Bushtit,394786271,Ronan Nicholson,tit
Dark-eyed Junco,288487631,Mike Cameron,lbb
Carolina Chickadee,192479131,Bryan Calk,tit
Greater Yellowlegs,277441831,Anonymous,hard_waders
Mississippi Kite,245189431,Byron Stone,big_raptors
Wilson's Plover,318056431,Andy Liu,plovers
Green Kingfisher,451283421,Ryan Rodriguez,kingfishers
Yellow-crowned Night Heron,598765091,Janet Hix,herons
Tropical Parula,241785101,Bryan Calk,lbb
Red-shouldered Hawk,188968141,Aaron Boone,big_raptors
Winter Wren,135513331,Tobias Yoder,lbb
Black-throated Sparrow,257386341,Suzie McCann,lbb
Hook-billed Kite,503589951,Ryan Sanderson,big_raptors
Lesser Goldfinch,187990681,Ad Konings,finches
Great-tailed Grackle,551440451,Connor Cochrane,ground_mbb
Ruby-crowned Kinglet,266814651,Ad Konings,lbb
Eastern Meadowlark,90320221,Jonathan Eckerson,owl
Cinnamon Teal,262996371,Ad Konings,ducks
White Ibis,629546690,Dorian Anderson,black_white
Greater Yellowlegs,513568991,Ryan Sanderson,hard_waders
