name,image_id,cc,category
Great Blue Heron,295900451,Carl Bergstrom,herons
White-tailed Ptarmigan,595867971,Mason Maron,quails
Red-tailed Hawk,390920461,Ken Pitts,big_raptors
Ruby-crowned Kinglet,389954851,Mason Maron,lbb
Black-throated Gray Warbler,446898781,Mason Maron,lbb
American Avocet,342141181,Mason Maron,colourful_waders
Pigeon Guillemot,172342221,Drew Beamer,pigeons_doves
Great Gray Owl,628324239,Xin Cen,owl
Great Blue Heron,295900421,Carl Bergstrom,herons
Surfbird,390744171,Mason Maron,hard_waders
Yellow-rumped Warbler,630734529,Mason Maron,lbb
Bald Eagle,285750461,Mason Maron,big_raptors
Bald Eagle,285750511,Mason Maron,big_raptors
Semipalmated Plover,330659611,Mason Maron,plovers
Black-footed Albatross,328888881,Mason Maron,seabirds
White-headed Woodpecker,454723031,Mason Maron,woodpecker
Golden-crowned Kinglet,50087221,Jacob McGinnis,lbb
Common Yellowthroat,459367491,Mason Maron,little_colourful_birds
Black-throated Gray Warbler,443359851,Mason Maron,lbb
Caspian Tern,268569871,Mason Maron,seabirds
American Dipper,610300665,Mason Maron,mbb
White-tailed Ptarmigan,594776821,Garrett Hughes,quails
Black-throated Gray Warbler,483864061,Mason Maron,lbb
Brambling,515072241,Liam Hutcheson,lbb
Fox Sparrow,293788021,Ryan Schain,lbb
Snow Bunting,303108291,Mason Maron,lbb
Rock Sandpiper,283985291,Mason Maron,plovers
Black-footed Albatross,349422041,Mason Maron,seabirds
Hutton's Vireo,121822671,Ryan Schain,lbb
Steller's Jay,172070171,Drew Beamer,robins
Sharp-tailed Sandpiper,260743121,Ian Davies,plovers
Warbling Vireo,460582571,Mason Maron,lbb
Caspian Tern,263223581,Mason Maron,seabirds
Western Sandpiper,269944751,Ian Davies,plovers
Red-breasted Sapsucker,283304991,Mason Maron,woodpecker
Clark's Nutcracker,275750681,Jen Sanford,mbb
American Robin,290023681,Mason Maron,robins
Belted Kingfisher,387808861,Mason Maron,kingfishers
Canada Jay,291968311,Mason Maron,robins
Surfbird,284695381,Mason Maron,hard_waders
Short-eared Owl,615196127,Mason Maron,owl
Black-headed Grosbeak,335838001,Mason Maron,finches
Spotted Towhee,217848351,Mason Maron,finches
Surfbird,285353591,Mason Maron,hard_waders
Sagebrush Sparrow,615640667,Mason Maron,lbb
Long-eared Owl,139251191,Christopher Lindsey,owl
