,name,category
0,Emu,walking_birds
1,Galah,cockatoos
4,Osprey,raptors
7,Barn Owl,owl
10,Hardhead,ducks
15,Cockatiel,parrots
18,Gray Teal,ducks
22,Musk Duck,ducks
23,Pilotbird,mbb
24,Silvereye,lbb
28,Sooty Owl,owl
32,Bell Miner,honeyeaters
35,Black Swan,walking_birds
38,Brown Skua,seabirds
41,Budgerigar,parrots
42,Maned Duck,ducks
49,Pied Stilt,wader
51,Pink Robin,robins
53,Rose Robin,robins
57,Shrike-tit,songbird
71,Star Finch,finches
72,White Tern,seabirds
73,Apostlebird,black_white
74,Barking Owl,owl
78,Brown Noddy,seabirds
79,Brown Quail,quails_pigeons
88,Common Tern,seabirds
90,Flame Robin,robins
93,Gray Petrel,seabirds
94,Great Egret,egrets
96,Little Tern,seabirds
97,Magpie-lark,black_white
98,Noisy Miner,honeyeaters
104,Noisy Pitta,ground_birds
106,Rockwarbler,mbb
110,Silver Gull,seabirds
112,Tree Martin,swallows
113,Zebra Finch,finches
116,Banded Stilt,wader
117,Black Falcon,raptors
118,Brown Falcon,raptors
119,Cattle Egret,egrets
120,Crimson Chat,little_colourful_birds
121,Diamond Dove,quails_pigeons
124,Gray Fantail,wagfantail
132,Gray Goshawk,raptors
137,Hooded Robin,robins
139,Jacky-winter,lbb
141,Lewin's Rail,wader
144,Little Egret,egrets
145,Magpie Goose,walking_birds
146,Masked Finch,finches
147,Mulga Parrot,parrots
150,Pacific Baza,raptors
152,Pacific Gull,seabirds
153,Pacific Koel,misc
154,Powerful Owl,owl
160,Spinifexbird,mbb
161,Spotted Dove,quails_pigeons
162,Brahminy Kite,raptors
163,Chestnut Teal,ducks
165,Dusky Moorhen,water_birds
167,Eurasian Coot,water_birds
168,Freckled Duck,ducks
170,Green Catbird,ground_birds
171,Mandarin Duck,ducks
172,Mistletoebird,little_colourful_birds
180,Musk Lorikeet,parrots
181,Pacific Heron,herons
182,Pacific Swift,swallows
183,Pallid Cuckoo,cuckoos
191,Peaceful Dove,quails_pigeons
192,Pink Cockatoo,cockatoos
193,Scarlet Robin,robins
197,Shy Heathwren,lbb
198,Stubble Quail,quails_pigeons
199,Superb Parrot,parrots
201,Banded Lapwing,wader
206,Bassian Thrush,mbb
208,Brown Songlark,mbb
209,Crested Pigeon,quails_pigeons
213,Gentoo Penguin,black_white
214,Kentish Plover,wader
216,Latham's Snipe,wader
218,Mangrove Robin,robins
219,Masked Lapwing,wader
222,Pied Cormorant,cormorant
223,Pied Currawong,black_white
226,Rufous Fantail,wagfantail
233,Spotless Crake,water_birds
234,Striated Heron,herons
236,Topknot Pigeon,quails_pigeons
240,Whiskered Tern,seabirds
247,Whistling Kite,raptors
248,Willie-wagtail,wagfantail
255,Australian Ibis,black_white
257,Brown Thornbill,lbb
260,Crimson Rosella,parrots
261,Eastern Rosella,parrots
264,Golden Whistler,songbird
270,Little Lorikeet,parrots
271,Nankeen Kestrel,raptors
273,Oriental Cuckoo,cuckoos
275,Pheasant Coucal,misc
277,Pink-eared Duck,ducks
278,Radjah Shelduck,ducks
279,Ruddy Turnstone,wader
280,Rufous Whistler,songbird
283,Satin Bowerbird,ground_birds
285,Southern Fulmar,seabirds
286,Spinifex Pigeon,quails_pigeons
288,Squatter Pigeon,quails_pigeons
293,Superb Lyrebird,ground_birds
294,Tawny Frogmouth,owl
296,Varied Sittella,mbb
300,Welcome Swallow,swallows
301,Australian Crake,water_birds
307,Azure Kingfisher,kingfisher
312,Black Honeyeater,honeyeaters
