name,audio_id,cc
Corn Crake,237871791,Alex Berryman
Great Spotted Woodpecker,98449391,Dominic Garcia-Hall
Redwing,73458141,Dominic Garcia-Hall
Eurasian Nuthatch,95133151,Dominic Garcia-Hall
Coal Tit,105000721,Dominic Garcia-Hall
Greater Whitethroat,101176981,Dominic Garcia-Hall
Greater Whitethroat,101098391,Dominic Garcia-Hall
Willow Warbler,99776121,Dominic Garcia-Hall
Long-tailed Tit,78652131,Dominic Garcia-Hall
Eurasian Nuthatch,120758621,Dominic Garcia-Hall
Common Chaffinch,139341351,Dominic Garcia-Hall
Eurasian Wren,69715951,Dominic Garcia-Hall
Cetti's Warbler,345981811,Dominic Garcia-Hall
Reed Bunting,345310471,Dominic Garcia-Hall
Eurasian Nuthatch,93968081,Dominic Garcia-Hall
Barn Swallow,165706161,Dominic Garcia-Hall
Tawny Owl,77102901,Dominic Garcia-Hall
Common Reed Warbler,345301771,Dominic Garcia-Hall
Water Rail,203950431,Andrew Carter
Eurasian Jackdaw,78141221,Dominic Garcia-Hall
Common Snipe,459120821,Dominic Garcia-Hall
Barn Owl,435736051,Dominic Garcia-Hall
Iberian Chiffchaff,241408351,James Kennerley
Dunnock,104042781,Dominic Garcia-Hall
Willow Ptarmigan,456744871,Dominic Garcia-Hall
Goldcrest,343002831,Dominic Garcia-Hall
Black-legged Kittiwake,203907481,Josep del Hoyo
Long-tailed Tit,80766551,Dominic Garcia-Hall
Common Raven,125228681,Dominic Garcia-Hall
Barn Owl,371579601,Dominic Garcia-Hall
Brambling,122310181,Dominic Garcia-Hall
Eurasian Blue Tit,14683,A. G. Field
Atlantic Puffin,167748861,Ramit Singal
Northern Gannet,203907621,Josep del Hoyo
Pied-billed Grebe,348489701,Barry Reed
Redwing,120632881,Dominic Garcia-Hall
Eurasian Curlew,345945161,Dominic Garcia-Hall
Wood Warbler,330489121,Ed Stubbs
Common Shelduck,203890151,Joe Angseesing
Eurasian Green Woodpecker,278956541,Dominic Garcia-Hall
Greater Whitethroat,101098411,Dominic Garcia-Hall
Carrion Crow,80226261,Dominic Garcia-Hall
Ring-necked Pheasant,81397411,Dominic Garcia-Hall
Graylag Goose,37827931,Jeff Graham
Common Redstart,96052861,Dominic Garcia-Hall
Long-tailed Tit,80766381,Dominic Garcia-Hall
Mute Swan,304263951,Michał Jezierski
Northern Gannet,203907631,Josep del Hoyo
Fieldfare,121707181,Dominic Garcia-Hall
Eurasian Kestrel,346490561,Dominic Garcia-Hall
Great Tit,93263611,Dominic Garcia-Hall
Western Capercaillie,82089,Gregory Budney
Eurasian Magpie,75441561,Dominic Garcia-Hall
Redwing,122195061,Dominic Garcia-Hall
White Wagtail,477895331,Lia Kajiki
Carrion Crow,203925251,Josep del Hoyo
Black-legged Kittiwake,203907471,Josep del Hoyo
Red Kite,252203581,Ed Stubbs
Gadwall,330025121,Simon Colenutt
Common Grasshopper Warbler,152496581,James Kennerley
Eurasian Nightjar,61438681,James Kennerley
Eurasian Sparrowhawk,252203571,Ed Stubbs
Common Sandpiper,65552241,Nicholas Allen
House Sparrow,203887271,Joe Angseesing
Stock Dove,319142571,Dominic Garcia-Hall
Eurasian Treecreeper,431853461,Dominic Garcia-Hall
Dunnock,120629921,Dominic Garcia-Hall
Dunnock,91477561,Mark Lewis
Eurasian Jackdaw,82178411,Dominic Garcia-Hall
Great Tit,69692471,Dominic Garcia-Hall
Mandarin Duck,95630431,Dominic Garcia-Hall
Mistle Thrush,102738191,Dominic Garcia-Hall
Mistle Thrush,77369541,Dominic Garcia-Hall
Ring Ouzel,204596,Gregory Budney
Whinchat,353443781,Simon Colenutt
Common Chaffinch,103676531,Dominic Garcia-Hall
Eurasian Hobby,557195441,Stuart Fisher
Northern Lapwing,146353761,Dominic Garcia-Hall
Little Owl,203925351,Josep del Hoyo
Parasitic Jaeger,601935361,Barry Reed
Barn Owl,250060311,Paul Holt
Eurasian Skylark,241403681,James Kennerley
Common Nightingale,203974901,Ed Hutchings
Common Nightingale,203974891,Ed Hutchings
Rock Pigeon,265744371,A Emmerson
Great Bittern,319396141,Joe Parker
Northern Wheatear,245575981,Lynden Schofield
Common Swift,244527511,Simon Colenutt
Eurasian Siskin,148011511,Raphaël Nussbaumer
Eurasian Magpie,107975551,Dominic Garcia-Hall
Garden Warbler,105798331,Dominic Garcia-Hall
Common Redstart,97891051,Dominic Garcia-Hall
Common Redstart,61788481,James Kennerley
Eurasian Blackcap,57645871,Lynden Schofield
Great Black-backed Gull,167747541,Ramit Singal
Eurasian Bullfinch,98570791,Dominic Garcia-Hall
Mandarin Duck,292436681,Ashley Banwell
