name,image_id,category
name,image_id,
"Brown Booby (Forster's)",255247461,seabirds
"Steller's Sea-Eagle",20060851,raptors
"Daurian Redstart",388744171,robins
"Warbling White-eye",173309281,lbb
"Blakiston's Fish-Owl",26859651,owl
"Whooper Swan",65426221,geese
"Siberian Thrush",579413791,ground_mbb
"White-tailed Eagle",65433481,raptors
"Blakiston's Fish-Owl",33106641,owl
"Warbling White-eye",317165211,lbb
"Okinawa Rail",266992571,rail_crake
"Steller's Sea-Eagle",26859521,raptors
"Harlequin Duck",26860111,ducks
"White-naped Crane",65591651,egrets
"Brown Booby (Forster's)",265791501,seabirds
"Radde's Warbler",609495566,lbb
"Black Kite (Black-eared)",65441931,raptors
"Common Merganser",509781661,funky_ducks
"Ural Owl",198773431,owl
"Little Tern",241113041,seabirds
"Whooper Swan",65426261,geese
"Blakiston's Fish-Owl",33106581,owl
"Glaucous-winged Gull",65437781,seabirds
"Brown Dipper",386907341,mbb
"Okinawa Rail",103438221,rail_crake
"Baer's Pochard",261516871,ducks
"Blakiston's Fish-Owl",26859641,owl
"Eurasian Wren (Eurasian)",559165571,lbb
"Blakiston's Fish-Owl",26859631,owl
"Baikal Teal",245258841,ducks
"Hooded Crane",65590231,egrets
"Green-winged Teal (Eurasian)",219925031,ducks
"Taiga Bean-Goose",81255571,geese
"Black-tailed Gull",76326981,seabirds
"Steller's Sea-Eagle",26859531,raptors
"Red-crowned Crane",76323701,egrets
"Slaty-backed Gull",26862221,seabirds
"Eurasian Wigeon",203849601,ducks
"Large-billed Crow",26860351,black_white
"Brown-eared Bulbul",65428321,ground_mbb
"Ijima's Leaf Warbler",93917941,lbb
"Blakiston's Fish-Owl",33106601,owl
"Swinhoe's Snipe",266995821,wader
"Hooded Crane",65590161,egrets
"Ryukyu Robin",26854261,robins
"Streaked Shearwater",265781311,seabirds
"Meadow Bunting",176478141,lbb
"Brown Dipper",386907321,mbb
"Hooded Crane",65590151,egrets
"Daurian Redstart",388744241,robins
"Brown Booby (Forster's)",255247371,seabirds
"Glaucous-winged Gull",65426371,seabirds
"Whooper Swan",65426191,geese
"Steller's Sea-Eagle",65433001,raptors
"Siberian Thrush",579562001,ground_mbb
"Dusky Thrush",543548051,ground_mbb
"Red-crowned Crane",65328921,egrets
"Long-tailed Rosefinch",532745661,finches
"Ruddy Turnstone",382855671,wader
"Eurasian Tree Sparrow",550943601,lbb
"Brown Dipper",386907311,mbb
"Bonin White-eye",206017701,lbb
"Black Scoter",65541771,funky_ducks
"Crested Serpent-Eagle (Ryukyu)",288136051,raptors
Smew,26861921,funky_ducks
"White-naped Crane",65592291,egrets
"Steller's Sea-Eagle",20060861,raptors
"Blakiston's Fish-Owl",81647601,owl
"Black Kite (Black-eared)",65441891,raptors
"Iriomote Tit",245302571,tit
"Hooded Crane",65590241,egrets
"Red-crowned Crane",65328951,egrets
"Common Sandpiper",26858351,wader
"Harlequin Duck",26860081,ducks
"Glaucous-winged Gull",65437741,seabirds
"Japanese Pygmy Woodpecker",24366071,woodpecker
"Hooded Crane",65590251,egrets
"Whooper Swan",65426121,geese
"Swinhoe's Snipe",266995811,wader
"Fairy Pitta",241821561,ground_birds
"Green Pheasant",146183081,walking_birds
"Little Tern",241113021,seabirds
"White-tailed Eagle",65433401,raptors
"Brown Booby (Forster's)",255412581,seabirds
"White's Thrush",65592931,ground_mbb
"Daurian Redstart",388744181,robins
"Copper Pheasant",613258384,walking_birds
"Long-toed Stint",50677161,wader
"Dusky Thrush",81484741,ground_mbb
"Eastern Spot-billed Duck",26854871,ducks
"Black Kite (Black-eared)",65441791,raptors
"White-tailed Eagle",65432981,raptors
"Japanese Bush Warbler",24366041,lbb
"Long-tailed Duck",26860151,ducks
Hawfinch,65428411,finches
"Bonin White-eye",206019261,lbb
"White-naped Crane",41541231,egrets
"Brown-eared Bulbul",65592981,ground_mbb
"Hooded Crane",65590141,egrets
"Daurian Redstart",388744231,robins
"Radde's Warbler",609495563,lbb
"Black Kite (Black-eared)",65441321,raptors
"Bonin White-eye",255404721,lbb
"Daurian Redstart",388744271,robins
"Okinawa Woodpecker",204331991,woodpecker
"Red-crowned Crane",129914281,egrets
"Taiga Bean-Goose",81255561,geese
"White-naped Crane",65591701,egrets
"Little Tern",241113031,seabirds
"Bull-headed Shrike",26855281,songbird
"Black-faced Spoonbill",26854581,egrets
"Black-tailed Gull",76327001,seabirds
"Bonin White-eye",354718241,lbb
"Asian Rosy-Finch",219931451,finches
"Wedge-tailed Shearwater",52877951,seabirds
"Dusky Thrush",65426281,ground_mbb
"Pin-tailed Snipe",266995551,wader
Smew,26861931,funky_ducks
"Eurasian Wren",597740221,lbb
"Japanese Waxwing",202169031,little_colourful_birds
"Okinawa Rail",129292791,rail_crake
"Rough-legged Hawk",517363471,raptors
"Northern Boobook",384822791,owl
"Gray Bunting",610942991,lbb
"Pallas's Rosefinch",208475171,finches
"Bonin White-eye",206019271,lbb
"Whooper Swan",65426271,geese
"Ross's Gull",198560531,seabirds
"Long-tailed Tit (caudatus)",198780631,tit
